tx_count,tx_success_rate,avg_gas_spent,avg_tx_value_eth,defi_interaction_count,wallet_age_days,tx_frequency_per_day,wallet_id
100,0.99,2358265.53,0.5225464129,0,795,0.12578616352201258,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
5,1.0,61746.4,0.00486037,0,1,5.0,0x06b51c6882b27cb05e712185531c1f74996dd988
4,1.0,72698.25,0.00465,0,1,4.0,0x0795732aacc448030ef374374eaae57d2965c16c
80,1.0,1653503.4625,2.523043686056659,0,2068,0.03868471953578337,0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9
5,1.0,61744.0,0.0052009382,0,64,0.078125,0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae
6,1.0,59654.166666666664,0.16014761126666666,0,699,0.008583690987124463,0x104ae61d8d487ad689969a17807ddc338b445416
6,1.0,78429.5,0.0048355318333333334,0,1,6.0,0x111c7208a7e2af345d36b6d4aace8740d61a3078
7,1.0,84912.42857142857,0.0048960677142857135,0,1,7.0,0x124853fecb522c57d9bd5c21231058696ca6d596
4,1.0,78981.25,0.004,0,1,4.0,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc
100,0.98,326817.79,0.08,0,1494,0.06693440428380187,0x1656f1886c5ab634ac19568cd571bc72f385fdf7
6,1.0,61598.5,0.0006443666666666667,0,22,0.2727272727272727,0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22
31,1.0,1292808.1290322582,0.004558956246091333,0,2126,0.01458137347130762,0x19df3e87f73c4aaf4809295561465b993e102668
5,1.0,61746.4,0.0056271863999999994,0,1,5.0,0x1ab2ccad4fc97c9968ea87d4435326715be32872
100,0.95,108300.76,0.014585143919247869,0,1512,0.06613756613756613,0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f
3,1.0,66433.33333333333,0.009710337766666667,0,1,3.0,0x1e43dacdcf863676a6bec8f7d6896d6252fac669
76,1.0,689719.0789473684,0.008143006818421053,0,1781,0.04267265581134194,0x22d7510588d90ed5a87e0f838391aaafa707c34b
